gene_id	phastCons_mean
P2RX6	0.0676857253986777
TCF7L2	0.306880085757443
TCF7L2	0.303184232451572
ST3GAL2	NA
CCDC57	0.0458994020148328
SGCZ	NA
RAB5C	0.130967612954818
RAB5B	0.212507718091206
ATP11C	NA
ANK2	NA
PPP6R2	NA
KCTD1	0.10128650698051
KCTD1	0.104224224224224
CT45A9	0.0310624106717484
MIR4252	0.1046875
SLIT3	NA
CYTH3	0.062738057648067
CTAG1B	0.00799278846153846
CTAG1B	0.00126201923076923
PEA15	0.274194194194194
BECN1	NA
NAA30	0.228095256901386
PNLIPRP3	0.101339027359263
DBX1	0.501272559000463
KIAA1755	0.0762411912250665
C6orf120	0.2647280433247
NANOS2	0.15591054313099
KCTD21	0.129829104091144
LAMA2	NA
MROH1	NA
STK16	0.363641975308642
NEDD4	NA
ZNF282	0.0664885645403009
VAPA	0.086821570630556
FSCN2	0.139657338663621
DERA	NA
NOSIP	0.0959850235003584
WASHC3	0.12345940227453
RWDD1	0.100817636495625
RRP15	0.066531921354285
MRPL2	0.184612539300906
MRPL11	0.165324503311258
GET4	0.0747686582176625
EMC9	0.314573820395738
ISOC1	0.0885471238134758
SLC35B3	0.117425117767309
SF3B6	0.0997940974605355
PELO	0.128524488530688
MIR3613	0.972727272727273
MIR3606	0.0734375
CAMTA1-DT	0.206238532110092
STK31	NA
TMEM267	0.161605452480121
SLC25A44	0.100176527227987
CD247	0.0476874765334333
RNF41	0.142623448974424
PXN-AS1	0.172510616171245
C1QTNF1-AS1	0.0604048295454545
POLR3B	NA
ZMYND8	NA
PNISR	0.272028613352899
PTPN3	0.0807973870931408
PRR29	0.0515110812625923
PRR29	0.0515110812625923
PRR29	0.0515110812625923
CTCF	0.114369952904648
THRA	0.289026392221239
THRA	0.285257571835361
CASP12	0.0346611085379033
USHBP1	NA
SCRN1	NA
FAM186A	0.132421863726877
EVX1	0.405328031809145
EVX1	0.405328031809145
STK31	NA
RERGL	0.131374651511902
ABCC9	NA
TEDC1	0.0204224471941007
PTPRC	0.0474408992927511
MED24	0.15538152155441
PAAF1	NA
NFATC1	0.072666749337343
UTY	NA
TMEM94	0.19986202282895
RABGGTB	0.194729152618566
IMP3	0.474492497793469
ANPEP	0.127885898320681
ZNF83	NA
NEMP1	0.174436285097192
CGA	0.149323621227888
NT5C	0.314631043256997
KDM1B	0.0841555367215124
RERE-AS1	NA
SNORD128	0.00956521739130435
MIR6728	0.0444444444444444
ENO1-AS1	0.0867745004757374
ANO7	0.0303871829105474
CYP27C1	0.0760406693110837
SPOPL	0.137045654021371
ICA1	0.109370133705634
PPP6R3	0.0741808607673551
GMCL2	0.508475758632717
ATXN1	NA
EIF2S3B	0.830615164520744
EIF2S3B	NA
LGALS3	0.0718914239782355
ABCG8	0.0689497716894976
MIR34AHG	0.0343004456873198
ERCC8	NA
SLTM	0.157309952224928
LINC02606	0.118959205020921
LINC02606	0.11875
ST18	0.109158699744857
ST18	0.109158699744857
PIK3CD-AS1	0.0365520728008089
PIK3CD-AS2	NA
PIK3CD-AS2	NA
PIK3CD-AS2	0.0348090922596939
MYH11	0.0676792618343678
SCX	0.237604731394776
UBN1	0.16210698127255
CPN2	0.0541601798996714
TVP23A	0.0490723508758466
BICC1	NA
DUSP13	0.112034966456597
SF3A3	0.105359520639147
ANO2	0.0728905203113836
RBFOX1	NA
DES	0.261538461538461
TMF1	0.153374553955949
TNFAIP6	0.114285714285714
IGF2-AS	0.0674840608141247
MIR5697	0.156962025316456
ABI2	NA
PARPBP	0.120061030010732
ADD3	0.155902638481717
ADD3	0.158529103265947
ACYP2	0.080240407176118
CEP70	NA
ACYP2	0.0839370535361268
ACYP2	0.0833867166253712
RTCA	0.103170777631331
UNC5C	NA
ME3	NA
DAZAP1	0.151959144453539
